Year,Month,ProductCategory,Federal Holidays,Events,Sales(In ThousandDollars)
2012,6,1,0,1,3086
2012,6,2,0,1,703
2012,6,3,0,1,1205
2012,7,1,1,0,2877
2012,7,2,1,0,613
2012,7,3,1,0,1049
2012,8,1,0,0,3059
2012,8,2,0,0,636
2012,8,3,0,0,1124
2012,9,1,1,0,3156
2012,9,2,1,0,687
2012,9,3,1,0,1045
2012,10,1,1,1,3168
2012,10,2,1,1,710
2012,10,3,1,1,1158
2012,11,1,2,1,3558
2012,11,2,2,1,731
2012,11,3,2,1,1252
2012,12,1,1,2,4824
2012,12,2,1,2,1080
2012,12,3,1,2,1475
2013,1,1,2,0,2320
2013,1,2,2,0,599
2013,1,3,2,0,1036
2013,2,1,1,1,2872
2013,2,2,1,1,560
2013,2,3,1,1,1144
2013,3,1,0,1,3687
2013,3,2,0,1,682
2013,3,3,0,1,1346
2013,4,1,0,0,3883
2013,4,2,0,0,718
2013,4,3,0,0,1188
2013,5,1,1,1,4170
2013,5,2,1,1,749
2013,5,3,1,1,1194
2013,6,1,0,1,3360
2013,6,2,0,1,678
2013,6,3,0,1,1261
2013,7,1,1,0,3320
2013,7,2,1,0,648
2013,7,3,1,0,1126
2013,8,1,0,0,3539
2013,8,2,0,0,687
2013,8,3,0,0,1311
2013,9,1,1,0,3720
2013,9,2,1,0,681
2013,9,3,1,0,1043
2013,10,1,1,1,3590
2013,10,2,1,1,785
2013,10,3,1,1,1031
2013,11,1,2,0,3834
2013,11,2,2,0,798
2013,11,3,2,0,1209
2013,12,1,1,2,4865
2013,12,2,1,2,1085
2013,12,3,1,2,1566
2014,1,1,2,0,2961
2014,1,2,2,0,573
2014,1,3,2,0,1172
2014,2,1,1,1,3381
2014,2,2,1,1,636
2014,2,3,1,1,1123
2014,3,1,0,0,4268
2014,3,2,0,0,702
2014,3,3,0,0,1293
2014,4,1,0,2,4223
2014,4,2,0,2,785
2014,4,3,0,2,1196
2014,5,1,1,1,4421
2014,5,2,1,1,801
2014,5,3,1,1,1257
2014,6,1,0,1,3905
2014,6,2,0,1,702
2014,6,3,0,1,1031
2014,7,1,1,0,3733
2014,7,2,1,0,655
2014,7,3,1,0,1175
2014,8,1,0,0,4067
2014,8,2,0,0,692
2014,8,3,0,0,1337
2014,9,1,1,0,4481
2014,9,2,1,0,636
2014,9,3,1,0,1056
2014,10,1,1,1,4434
2014,10,2,1,1,757
2014,10,3,1,1,1153
2014,11,1,2,0,4525
2014,11,2,2,0,803
2014,11,3,2,0,1468
2014,12,1,1,2,5664
2014,12,2,1,2,1070
2014,12,3,1,2,1967
