Year,Month,ProductCategory,Monthly Nominal GDP Index (inMillion$),CPI,unemployment rate,CommercialBankInterestRateonCreditCardPlans,"Finance Rate on Personal Loans at Commercial Banks, 24 Month Loan",Earnings or wages  in dollars per hour,Sales(In ThousandDollars)
2011,6,2,15422.382,248.505,9.1,12.89,11.37,22.81,636
2011,6,3,15422.382,248.505,9.1,12.89,11.37,22.81,1031
2011,7,1,15547.854,249.164,9,12.89,11.37,22.94,2896
2011,7,2,15547.854,249.164,9,12.89,11.37,22.94,587
2011,7,3,15547.854,249.164,9,12.89,11.37,22.94,985
2011,8,1,15649.038,250.058,9,12.28,10.8,22.85,3245
2011,8,2,15649.038,250.058,9,12.28,10.8,22.85,549
2011,8,3,15649.038,250.058,9,12.28,10.8,22.85,1001
2011,9,1,15564.482,250.559,9,12.28,10.8,23.05,3182
2011,9,2,15564.482,250.559,9,12.28,10.8,23.05,643
2011,9,3,15564.482,250.559,9,12.28,10.8,23.05,930
2011,10,1,15840.385,250.051,8.8,12.28,10.8,23.3,3156
2011,10,2,15840.385,250.051,8.8,12.28,10.8,23.3,682
2011,10,3,15840.385,250.051,8.8,12.28,10.8,23.3,1020
2011,11,1,15775.006,249.317,8.6,12.36,10.36,23.15,3499
2011,11,2,15775.006,249.317,8.6,12.36,10.36,23.15,707
2011,11,3,15775.006,249.317,8.6,12.36,10.36,23.15,1147
2011,12,1,15740.545,248.307,8.5,12.36,10.36,23.22,4775
2011,12,2,15740.545,248.307,8.5,12.36,10.36,23.22,1081
2011,12,3,15740.545,248.307,8.5,12.36,10.36,23.22,1596
2012,1,1,15864.502,249.322,8.3,12.36,10.36,23.56,2287
2012,1,2,15864.502,249.322,8.3,12.36,10.36,23.56,525
2012,1,3,15864.502,249.322,8.3,12.36,10.36,23.56,1039
2012,2,1,16073.575,250.285,8.3,12.34,10.89,23.4,2800
2012,2,2,16073.575,250.285,8.3,12.34,10.89,23.4,545
2012,2,3,16073.575,250.285,8.3,12.34,10.89,23.4,1031
2012,3,1,15983.565,251.887,8.2,12.34,10.89,23.39,3566
2012,3,2,15983.565,251.887,8.2,12.34,10.89,23.39,623
2012,3,3,15983.565,251.887,8.2,12.34,10.89,23.39,1229
2012,4,1,16091.228,252.349,8.2,12.34,10.89,23.61,3724
2012,4,2,16091.228,252.349,8.2,12.34,10.89,23.61,711
2012,4,3,16091.228,252.349,8.2,12.34,10.89,23.61,1136
2012,5,1,16121.959,252.652,8.2,12.06,10.94,23.32,3800
2012,5,2,16121.959,252.652,8.2,12.06,10.94,23.32,725
2012,5,3,16121.959,252.652,8.2,12.06,10.94,23.32,1155
2012,6,1,16152.366,252.406,8.2,12.06,10.94,23.27,3086
2012,6,2,16152.366,252.406,8.2,12.06,10.94,23.27,703
2012,6,3,16152.366,252.406,8.2,12.06,10.94,23.27,1205
2012,7,1,16239.42,252.016,8.2,12.06,10.94,23.48,2877
2012,7,2,16239.42,252.016,8.2,12.06,10.94,23.48,613
2012,7,3,16239.42,252.016,8.2,12.06,10.94,23.48,1049
2012,8,1,16161.118,253.472,8.1,11.95,10.37,23.26,3059
2012,8,2,16161.118,253.472,8.1,11.95,10.37,23.26,636
2012,8,3,16161.118,253.472,8.1,11.95,10.37,23.26,1124
2012,9,1,16283.279,254.554,7.8,11.95,10.37,23.67,3156
2012,9,2,16283.279,254.554,7.8,11.95,10.37,23.67,687
2012,9,3,16283.279,254.554,7.8,11.95,10.37,23.67,1045
2012,10,1,16208.315,254.277,7.8,11.95,10.37,23.52,3168
2012,10,2,16208.315,254.277,7.8,11.95,10.37,23.52,710
2012,10,3,16208.315,254.277,7.8,11.95,10.37,23.52,1158
2012,11,1,16272.706,254.285,7.7,11.88,10.64,23.58,3558
2012,11,2,16272.706,254.285,7.7,11.88,10.64,23.58,731
2012,11,3,16272.706,254.285,7.7,11.88,10.64,23.58,1252
2012,12,1,16411.026,253.555,7.9,11.88,10.64,23.85,4824
2012,12,2,16411.026,253.555,7.9,11.88,10.64,23.85,1080
2012,12,3,16411.026,253.555,7.9,11.88,10.64,23.85,1475
2013,1,1,16503.916,254.807,8,11.88,10.64,23.88,2320
2013,1,2,16503.916,254.807,8,11.88,10.64,23.88,599
2013,1,3,16503.916,254.807,8,11.88,10.64,23.88,1036
2013,2,1,16433.883,256.234,7.7,11.94,10.12,23.9,2872
2013,2,2,16433.883,256.234,7.7,11.94,10.12,23.9,560
2013,2,3,16433.883,256.234,7.7,11.94,10.12,23.9,1144
2013,3,1,16488.522,256.589,7.5,11.94,10.12,23.84,3687
2013,3,2,16488.522,256.589,7.5,11.94,10.12,23.84,682
2013,3,3,16488.522,256.589,7.5,11.94,10.12,23.84,1346
2013,4,1,16521.134,255.967,7.6,11.94,10.12,23.92,3883
2013,4,2,16521.134,255.967,7.6,11.94,10.12,23.92,718
2013,4,3,16521.134,255.967,7.6,11.94,10.12,23.92,1188
2013,5,1,16461.873,256.27,7.5,11.95,10.34,23.8,4170
2013,5,2,16461.873,256.27,7.5,11.95,10.34,23.8,749
2013,5,3,16461.873,256.27,7.5,11.95,10.34,23.8,1194
2013,6,1,16641.163,256.911,7.5,11.95,10.34,23.92,3360
2013,6,2,16641.163,256.911,7.5,11.95,10.34,23.92,678
2013,6,3,16641.163,256.911,7.5,11.95,10.34,23.92,1261
2013,7,1,16685.742,257.326,7.3,11.95,10.34,23.81,3320
2013,7,2,16685.742,257.326,7.3,11.95,10.34,23.81,648
2013,7,3,16685.742,257.326,7.3,11.95,10.34,23.81,1126
2013,8,1,16776.993,257.659,7.3,11.88,10.13,23.8,3539
2013,8,2,16776.993,257.659,7.3,11.88,10.13,23.8,687
2013,8,3,16776.993,257.659,7.3,11.88,10.13,23.8,1311
2013,9,1,16785.312,258.504,7.2,11.88,10.13,24.16,3720
2013,9,2,16785.312,258.504,7.2,11.88,10.13,24.16,681
2013,9,3,16785.312,258.504,7.2,11.88,10.13,24.16,1043
2013,10,1,16884.855,257.069,7.2,11.88,10.13,24.04,3590
2013,10,2,16884.855,257.069,7.2,11.88,10.13,24.04,785
2013,10,3,16884.855,257.069,7.2,11.88,10.13,24.04,1031
2013,11,1,17053.738,257.377,6.9,11.85,10.22,24.11,3834
2013,11,2,17053.738,257.377,6.9,11.85,10.22,24.11,798
2013,11,3,17053.738,257.377,6.9,11.85,10.22,24.11,1209
2013,12,1,17061.071,257.284,6.7,11.85,10.22,24.3,4865
2013,12,2,17061.071,257.284,6.7,11.85,10.22,24.3,1085
2013,12,3,17061.071,257.284,6.7,11.85,10.22,24.3,1566
2014,1,1,16955.609,259.596,6.6,11.85,10.22,24.35,2961
2014,1,2,16955.609,259.596,6.6,11.85,10.22,24.35,573
2014,1,3,16955.609,259.596,6.6,11.85,10.22,24.35,1172
2014,2,1,17028.586,259.019,6.7,11.83,10.09,24.58,3381
2014,2,2,17028.586,259.019,6.7,11.83,10.09,24.58,636
2014,2,3,17028.586,259.019,6.7,11.83,10.09,24.58,1123
2014,3,1,17109.777,259.971,6.7,11.83,10.09,24.5,4268
2014,3,2,17109.777,259.971,6.7,11.83,10.09,24.5,702
2014,3,3,17109.777,259.971,6.7,11.83,10.09,24.5,1293
2014,4,1,17208.865,259.985,6.2,11.83,10.09,24.4,4223
2014,4,2,17208.865,259.985,6.2,11.83,10.09,24.4,785
2014,4,3,17208.865,259.985,6.2,11.83,10.09,24.4,1196
2014,5,1,17345.334,261.225,6.3,11.83,9.57,24.3,4421
2014,5,2,17345.334,261.225,6.3,11.83,9.57,24.3,801
2014,5,3,17345.334,261.225,6.3,11.83,9.57,24.3,1257
2014,6,1,17408.564,261.35,6.1,11.83,9.57,24.42,3905
2014,6,2,17408.564,261.35,6.1,11.83,9.57,24.42,702
2014,6,3,17408.564,261.35,6.1,11.83,9.57,24.42,1031
2014,7,1,17551.781,261.498,6.2,11.83,9.57,24.31,3733
2014,7,2,17551.781,261.498,6.2,11.83,9.57,24.31,655
2014,7,3,17551.781,261.498,6.2,11.83,9.57,24.31,1175
2014,8,1,17684.635,261.075,6.2,11.82,10.73,24.32,4067
2014,8,2,17684.635,261.075,6.2,11.82,10.73,24.32,692
2014,8,3,17684.635,261.075,6.2,11.82,10.73,24.32,1337
2014,9,1,17630.355,261.074,5.9,11.82,10.73,24.5,4481
2014,9,2,17630.355,261.074,5.9,11.82,10.73,24.5,636
2014,9,3,17630.355,261.074,5.9,11.82,10.73,24.5,1056
2014,10,1,17709.437,260.5,5.7,11.82,10.73,24.52,4434
2014,10,2,17709.437,260.5,5.7,11.82,10.73,24.52,757
2014,10,3,17709.437,260.5,5.7,11.82,10.73,24.52,1153
2014,11,1,17765.338,259.382,5.8,11.99,10.47,24.78,4525
2014,11,2,17765.338,259.382,5.8,11.99,10.47,24.78,803
2014,11,3,17765.338,259.382,5.8,11.99,10.47,24.78,1468
2014,12,1,17733.024,258.08,5.6,11.99,10.47,24.59,5664
2014,12,2,17733.024,258.08,5.6,11.99,10.47,24.59,1070
2014,12,3,17733.024,258.08,5.6,11.99,10.47,24.59,1967
