Year,Month,ProductCategory,Weather Normal,Weather Bad,Sales(In ThousandDollars)
2013,4,1,20,10,3883
2013,4,2,20,10,718
2013,4,3,20,10,1188
2013,5,1,20,11,4170
2013,5,2,20,11,749
2013,5,3,20,11,1194
2013,6,1,15,15,3360
2013,6,2,15,15,678
2013,6,3,15,15,1261
2013,7,1,17,14,3320
2013,7,2,17,14,648
2013,7,3,17,14,1126
2013,8,1,20,11,3539
2013,8,2,20,11,687
2013,8,3,20,11,1311
2013,9,1,23,7,3720
2013,9,2,23,7,681
2013,9,3,23,7,1043
2013,10,1,25,6,3590
2013,10,2,25,6,785
2013,10,3,25,6,1031
2013,11,1,20,10,3834
2013,11,2,20,10,798
2013,11,3,20,10,1209
2013,12,1,20,11,4865
2013,12,2,20,11,1085
2013,12,3,20,11,1566
2014,1,1,21,10,2961
2014,1,2,21,10,573
2014,1,3,21,10,1172
2014,2,1,17,11,3381
2014,2,2,17,11,636
2014,2,3,17,11,1123
2014,3,1,23,8,4268
2014,3,2,23,8,702
2014,3,3,23,8,1293
2014,4,1,18,12,4223
2014,4,2,18,12,785
2014,4,3,18,12,1196
2014,5,1,19,12,4421
2014,5,2,19,12,801
2014,5,3,19,12,1257
2014,6,1,20,10,3905
2014,6,2,20,10,702
2014,6,3,20,10,1031
2014,7,1,20,11,3733
2014,7,2,20,11,655
2014,7,3,20,11,1175
2014,8,1,25,6,4067
2014,8,2,25,6,692
2014,8,3,25,6,1337
2014,9,1,23,7,4481
2014,9,2,23,7,636
2014,9,3,23,7,1056
2014,10,1,17,14,4434
2014,10,2,17,14,757
2014,10,3,17,14,1153
2014,11,1,20,10,4525
2014,11,2,20,10,803
2014,11,3,20,10,1468
2014,12,1,14,17,5664
2014,12,2,14,17,1070
2014,12,3,14,17,1967
